Page URL with Redirect Link,Initial Redirect URL,Final Destination URL,Status code,Discovered
https://azturfsuppliers.com/about/,https://www.azturfsuppliers.com/about/,https://azturfsuppliers.com/about/,301,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/phoenix,https://azturfsuppliers.com/phoenix/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/winter-series,https://azturfsuppliers.com/winter-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/bermuda-blend,https://azturfsuppliers.com/bermuda-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/putting-green,https://azturfsuppliers.com/putting-green/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/reviews,https://azturfsuppliers.com/reviews/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/san-tan-valley,https://azturfsuppliers.com/san-tan-valley/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/natural-stone,https://azturfsuppliers.com/natural-stone/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/about,https://azturfsuppliers.com/about/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/spring-blend,https://azturfsuppliers.com/spring-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/natural-series,https://azturfsuppliers.com/natural-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/warranty,https://azturfsuppliers.com/warranty/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/blog,https://azturfsuppliers.com/blog/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/gallery,https://azturfsuppliers.com/gallery/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/tempe,https://azturfsuppliers.com/tempe/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/scottsdale,https://azturfsuppliers.com/scottsdale/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/accessories,https://azturfsuppliers.com/accessories/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/products,https://azturfsuppliers.com/products/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/queen-creek,https://azturfsuppliers.com/queen-creek/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/resources,https://azturfsuppliers.com/resources/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/about/,https://azturfsuppliers.com/contractors,https://azturfsuppliers.com/contractors/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/natural-series,https://azturfsuppliers.com/natural-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/mesa,https://azturfsuppliers.com/mesa/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/spring-blend,https://azturfsuppliers.com/spring-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/accessories/,https://www.azturfsuppliers.com/accessories/,https://azturfsuppliers.com/accessories/,301,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/warranty,https://azturfsuppliers.com/warranty/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/blog,https://azturfsuppliers.com/blog/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/gallery,https://azturfsuppliers.com/gallery/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/tempe,https://azturfsuppliers.com/tempe/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/scottsdale,https://azturfsuppliers.com/scottsdale/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/accessories,https://azturfsuppliers.com/accessories/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/products,https://azturfsuppliers.com/products/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/queen-creek,https://azturfsuppliers.com/queen-creek/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/resources,https://azturfsuppliers.com/resources/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/contractors,https://azturfsuppliers.com/contractors/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/natural-stone,https://azturfsuppliers.com/natural-stone/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/artificial-turf,https://azturfsuppliers.com/artificial-turf/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/accessories/,https://azturfsuppliers.com/turf-calculator,https://azturfsuppliers.com/turf-calculator/,308,18 May 2026 (00:27 UTC)
